id,sehir,yas,tarih,korumaemri,neden1,neden2,katil1,katil2,oldurmeyolu1,oldurmeyolu2,oldurmeyolu3,katildurumu,yil
1, Adana , Resit ,01/01/2015,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2015
2, Adana , Resit ,14/09/2015,   Yok ,Tartisma,,Kardesi,,Kesici Alet,,, Tutuklu ,2015
3, Adana ,,30/09/2015,   Yok ,Namus,,Akrabasi,,Atesli Silah,,, Tutuklu ,2015
4, Adana ,, 01/01/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Bogulma,,, Tespit Edilemeyen,2015
5, Adana ,, 01/03/2015 ,   Yok ,Tartisma,,Eski Kocasi,,Kesici Alet,,, Araniyor ,2015
6, Adana , Resit , 01/03/2015 ,   Yok ,Tartisma,,Torunu,,Atesli Silah,,, Tutuklu ,2015
7, Adana , Tespit Edilemeyen, 01/03/2015 ,   Tespit Edilemeyen,,,Tespit Edilemeyen,,Tespit Edilemeyen,,,Tespit Edilemeyen,2015
8, Adiyaman , Resit , 01/04/2015 ,   Yok ,Tartisma,,Babasi,,Atesli Silah,,, Intihar ,2015
9, Afyonkarahisar , Resit , 01/06/2015 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2015
10, Afyonkarahisar , Resit , 01/07/2015 ,   Yok ,Para,,Tanimadigi Birisi,,Darp,,, Tutuklu ,2015
11, Antalya , Resit , 01/10/2015 ,   Var ,Tartisma,,Kocasi,,Atesli Silah,,, Intihar ,2015
12, Ankara , Resit , 02/01/2015 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Yuksekten Dusme,,, Sorusturma Suruyor ,2015
13, Ankara ,Resit, 02/03/2015 ,   Yok ,Bosanma,,Eski Kocasi,,Bogulma,,,,2015
14, Ankara , Resit , 02/04/2015 ,   Yok ,Tespi Edilemeyen,,Abisi,,Kesici Alet,,, Tutuklu ,2015
15, Ankara , Resit , 02/05/2015 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Intihar ,2015
16, Ankara ,, 02/06/2015 ,   Yok ,Tartisma,,Sevgilisi,,Darp,Yakilma,, Tutuklu ,2015
17, Ankara , Resit , 02/06/2015 ,   Var ,Bosanma Talebi,,Kocasi,,Kesici Alet,Darp,Bogulma, Tespit Edilemeyen,2015
18, Antalya ,, 02/09/2015 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Tutuklu ,2015
19, Antalya ,, 02/11/2015 ,   Yok ,Tartisma,,Sevgilisi,,Kesici Alet,,, Tutuklu ,2015
20, Antalya , Resit , 02/11/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2015
21, Antalya , Resit , 02/11/2015 ,   Var ,Bosanma Talebi,,Kocasi,,Kesici Alet,,, Tutuklu ,2015
22, Antalya , Resit , 02/12/2015 ,   Yok ,Tespit Edilemeyen,,Eski Nisanlisi,,Atesli Silah,,, Intihar ,2015
23, Antalya , Resit , 02/12/2015 ,   Yok ,Kiskanclik,,Sevgilisi,,Kesici Alet,,, Tutuklu ,2015
24, Antalya , Resit , 03/02/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,, Sorusturma Suruyor ,2015
